id,Pretrial sr,Trial number,Trial sr,Five hits,Pair id,Option 1,Option 2,Type
14,0.45,,,,,,,
,,1,0.45,0,1,16.25,16.5,0
,,,,,2,16,16.5,0
,,,,,3,16.5,17,0
,,,,,4,16.5,16.75,0
,,,,,5,16.5,16,1
,,,,,6,16.5,16.25,0
,,,,,7,16.75,16.5,0
,,,,,8,17,16.5,1
,,2,0.15,0,1,16,16.5,1
,,,,,2,17,16.5,1
,,,,,3,16.5,16.75,1
,,,,,4,16.25,16.5,0
,,,,,5,16.5,16,1
,,,,,6,16.5,17,1
,,,,,7,16.75,16.5,1
,,,,,8,16.5,16.25,0
,,3,0.45,0,1,16.5,16,0
,,,,,2,16.75,16.5,1
,,,,,3,16.25,16.5,1
,,,,,4,16.5,17,1
,,,,,5,16.5,16,1
,,,,,6,17,16.5,1
,,,,,7,16.5,16.75,1
,,,,,8,16,16.5,1
,,4,0.62,1,1,16,16.5,0
,,,,,2,16.75,16.5,1
,,,,,3,16.5,17,1
,,,,,4,16.5,16.25,0
,,,,,5,16.5,16,1
,,,,,6,16.5,16.75,0
,,,,,7,17,16.5,0
,,,,,8,16.25,16.5,1
15,0.55,,,,,,,
,,1,0.58333,1,1,16.25,16.5,1
,,,,,2,16.5,16.75,0
,,,,,3,16.5,17,0
,,,,,4,16,16.5,1
,,,,,5,16.75,16.5,1
,,,,,6,16.5,16.25,1
,,,,,7,16.5,16,0
,,,,,8,17,16.5,0
,,2,1,1,1,16.5,16.75,0
,,,,,2,17,16.5,0
,,,,,3,16.25,16.5,1
,,,,,4,16,16.5,1
,,,,,5,16.75,16.5,1
,,,,,6,16.5,16.25,1
,,,,,7,16.5,16,1
,,,,,8,16.5,17,1
16,0.45,,,,,,,
,,1,0.4,0,1,16,16.5,0
,,,,,2,16.25,16.5,0
,,,,,3,16.5,17,1
,,,,,4,16.5,16.75,1
,,,,,5,17,16.5,1
,,,,,6,16.5,16.25,1
,,,,,7,16.5,16,0
,,,,,8,16.75,16.5,1
,,2,1,1,1,16.25,16.5,1
,,,,,2,16,16.5,1
,,,,,3,16.5,17,1
,,,,,4,16.5,16.75,0
,,,,,5,16.5,16.25,1
,,,,,6,16.5,16,0
,,,,,7,17,16.5,0
,,,,,8,16.75,16.5,1
,,3,0.65,0,1,16.25,16.5,1
,,,,,2,16,16.5,1
,,,,,3,17,16.5,1
,,,,,4,16.5,16.75,0
,,,,,5,16,16.5,1
,,,,,6,16.5,16.25,0
,,,,,7,16.5,17,1
,,,,,8,16.75,16.5,1
,,4,0.6,0,1,16.25,16.5,1
,,,,,2,16,16.5,1
,,,,,3,16.5,16.75,1
,,,,,4,16.5,17,1
,,,,,5,16.5,16.25,0
,,,,,6,17,16.5,1
,,,,,7,16.75,16.5,1
,,,,,8,16.5,16,0
17,0.3,,,,,,,
,,1,0.4,0,1,17,16.5,0
,,,,,2,16.5,16.25,0
,,,,,3,16.75,16.5,1
,,,,,4,16.5,16,1
,,,,,5,16.5,17,0
,,,,,6,16.75,16.5,1
,,,,,7,16.25,16.5,1
,,,,,8,16.5,16,1
,,2,0.45,0,1,16,16.5,1
,,,,,2,16.75,16.5,1
,,,,,3,16.5,16.25,1
,,,,,4,16.5,17,0
,,,,,5,16.5,16,1
,,,,,6,16.25,16.5,1
,,,,,7,17,16.5,1
,,,,,8,16.75,16.5,1
,,3,0.5,1,1,16.5,16.25,0
,,,,,2,16.5,16.75,1
,,,,,3,16,16.5,1
,,,,,4,17,16.5,0
,,,,,5,16.5,17,0
,,,,,6,16.25,16.5,1
,,,,,7,16.75,16.5,1
,,,,,8,16.5,16,1
,,4,0.62,1,1,16.5,16.25,0
,,,,,2,16.5,16.75,1
,,,,,3,16,16.5,1
,,,,,4,16.5,17,1
,,,,,5,16.75,16.5,1
,,,,,6,16.25,16.5,1
,,,,,7,16.5,16,1
,,,,,8,17,16.5,1
18,0.7,,,,,,,
,,1,0.5,0,1,16.5,16.25,1
,,,,,2,16.75,16.5,0
,,,,,3,17,16.5,1
,,,,,4,16.5,16,1
,,,,,5,16,16.5,1
,,,,,6,16.5,17,0
,,,,,7,16.5,16.75,1
,,,,,8,16.25,16.5,1
,,2,0.62,1,1,16.5,17,0
,,,,,2,16.5,16.25,1
,,,,,3,16.5,16,1
,,,,,4,17,16.5,0
,,,,,5,16.5,16.75,0
,,,,,6,16.75,16.5,1
,,,,,7,16,16.5,1
,,,,,8,16.25,16.5,1
,,3,0.56,1,1,16.5,17,1
,,,,,2,16.5,16.75,0
,,,,,3,16.5,16.25,1
,,,,,4,16.5,16,1
,,,,,5,16,16.5,1
,,,,,6,16.25,16.5,1
,,,,,7,16.75,16.5,1
,,,,,8,17,16.5,1
,,4,0.45,0,1,16.5,17,1
,,,,,2,17,16.5,1
,,,,,3,16.5,16.75,1
,,,,,4,16.5,16.75,1
,,,,,5,16.25,16.5,0
,,,,,6,16.5,16.25,0
,,,,,7,16.5,16,0
,,,,,8,16,16.5,1
